violation_id,license_number,license_plate
9407AZSX,6074985303,HQF 124
3777TOSQ,7441937126,661-IYN
9175MPUE,9085377153,4SS 130
4019LVIF,2259767954,ALZ 108
3845FPGE,5684721851,82-ME02
0461YBIT,6534683275,820 6ND
4091YQNW,4763498514,BTN-572
3895PLZD,2679076606,538-HLN
5433QFAY,6073273942,088-JED
5057WCLD,2421418534,5-C5151
2290KXVE,3364096073,925 UXM
3616CYGA,3724276361,16K 993
9974TYBR,2764402554,544
1413TYSR,6498661786,PMY-3580
1562RIFC,4825420472,WFT 351
9068USLR,379817950,0FUI 92
0659DUWY,787565187,ENL-8366
3051JAUH,1804154393,4IZ R94
4901PXJJ,7526293725,85-9958S
2959FNMR,5427979566,52J Q78
0671BNMM,8522013978,IUH-070
2292PZFD,6347139126,9OD7099
9662PQMH,2335691649,IRJ4061
0555KZDH,3839557577,199 0QS
5788TEWX,8882947224,MGN 374
0238OTKQ,9537618009,984 WZZ
8482CESG,6559591227,920 LGZ
6070UMKH,9798775759,IXG-3377
1726UEUU,965270194,GA 2048
7254JYLZ,1810788575,HSS 135
6731ZVRX,8410715214,5HKQ 97
1535HBLH,732776564,H 717865
3349ZIAK,1453385195,29W B12
7625FOSQ,8708228336,QKL-2115
2413CPXZ,8019125386,73-28679
2374RNRL,6584123888,2BE79
2629IBDZ,3461209265,3KJF834
7579YDEH,4736184751,876 BMI
8048YWRO,6377673199,JRG 190
9407AZSX,802290981,ZGU-170
3777TOSQ,3379040124,609 BEW
9175MPUE,2894173575,12-J856
4019LVIF,372664422,9V 0E7TFM
8045WWCM,1696605212,39-4352N
3845FPGE,5465674670,729-ZOG
0461YBIT,8310140181,0CT E37
3895PLZD,5862567248,BA-8605
5433QFAY,3378571562,GD-2434
2290KXVE,340640279,MAE 821
3616CYGA,2405963163,5JE6549
9974TYBR,5423426045,035DR
1413TYSR,3009273310,EG6 T4J
9068USLR,3527198547,MDN 148
0659DUWY,1322742292,427-AKK
3051JAUH,8829116478,685VJJ
4901PXJJ,4655980665,UX 6663
2959FNMR,2967237942,65-L073
0671BNMM,9450326055,6M 8N4WZH
9050DPSZ,5102878846,L76-44F
2292PZFD,1329966052,6IX04
9662PQMH,35638473,YAI9366
0555KZDH,5834492576,7I BO383
0238OTKQ,4732874142,127 MOD
8482CESG,2400834682,276 NHZ
6070UMKH,8623673715,W39-HNO
1726UEUU,8678128651,0VR1058
7254JYLZ,8368649018,D78-89Y
6731ZVRX,322630381,2X CH591
1535HBLH,9439906248,X12-42Y
3349ZIAK,5859254607,HGW-0660
2374RNRL,3121032579,MOK 536
2629IBDZ,9444920339,577-UTK
7579YDEH,7311757212,YRD-6112
8048YWRO,5935103349,780-107
9175MPUE,4704499976,921-NNIU
4019LVIF,6017495036,XVX-1687
3845FPGE,7688490905,FS 4755
0461YBIT,2542775326,886 FKO
1893JVVW,4321294542,ISV 533
4091YQNW,2085585714,495 ISP
3895PLZD,9276619450,743-KJS
5433QFAY,913536434,KKG 293
5057WCLD,4502284517,8MB71
2290KXVE,941216632,EPI4806
3616CYGA,2784926685,63-97656
9974TYBR,8381437774,9GXK 13
1413TYSR,2930274072,LM 24090
1562RIFC,3930469445,BHS-5622
7404DNVC,5625375383,NBQ-4863
9068USLR,1772392824,9F F2690
3051JAUH,4838095613,AOS-829
4901PXJJ,2612606326,177TCO
2959FNMR,1128842781,70C W31
9050DPSZ,9412159266,2XY3473
2292PZFD,2910680909,1F 78928
9662PQMH,5119996624,809 UBB
0555KZDH,2078972523,WCI 038
5788TEWX,4012915395,FOP-4832
0238OTKQ,9286293005,2401 DR
8482CESG,1342108625,BHX 924
1726UEUU,9575754613,U98 6YR
7254JYLZ,1880381729,181 BFU
3349ZIAK,7775650608,106 YIJ
7625FOSQ,7856208707,ADU-732
2413CPXZ,7142683736,68R•376
2374RNRL,2621194249,I56 5DY
2629IBDZ,8226190121,2R 88330
7579YDEH,7528627015,60U Z91
9326PSIW,5022233691,220-FIX
9407AZSX,9611758250,84-WC27
3777TOSQ,883631466,800 PML
9175MPUE,8249163834,9MI 839
4019LVIF,3263271429,302FBQ
8045WWCM,5565959293,939 7924
0461YBIT,3171217627,3RX4731
1893JVVW,4553118554,179LU
4091YQNW,8665505928,MXS 588
3895PLZD,2789420264,794-XFB
2290KXVE,6190058432,ORH 676
3616CYGA,2452892844,802 FV7
9974TYBR,2578130768,281 PZZ
1562RIFC,1933291552,7G 8649R
5991PXCD,1159738206,ZXS5691
7404DNVC,6393833308,224 NGD
1359XNKA,7787343294,YKH-6327
3491QDIE,6074985303,107-VDR
6580GSFC,1289040145,7-J6658
6489LABM,9486924781,140-BAL
8223JORF,9157972870,6DN G71
9421DZOJ,7577536311,575 VZ6
