license_number,license_plate
1810788575,5K 8L0QYM
4025235663,7YM4070
7702084276,LNY3441
732776564,2-61359G
8708228336,36D JT4
7133693442,ZZR 318
130597914,767 PJE
279405538,QCY 464
1152340118,OQE N74
3379040124,74Y M17
2999591912,1S XY951
5465674670,HSZ-6396
5862567248,XY1 2439
5235392775,LYS 352
3378571562,26A W31
2403811561,13I L66
4146207898,04-J541
88755701,T99-KBC
8857634189,68-1035A
864035941,189 HFU
9450326055,41CU041
774018388,2C 67350
1131481063,28033
9454182811,8BMP479
2400834682,GRE-025
322630381,1-L0164
9439906248,GDZ0926
9444920339,2V139
7311757212,694 VZ3
3294114737,4961 IV
5935103349,WLQ-8090
6200017793,5UQ 943
7410093140,44-HC56
9822909160,4WEJ 70
1459716828,401AW
58959772,53-N511
9276619450,LYP 869
1466699002,F08 4EV
913536434,LKB 959
420783266,QB-6655
3642508404,THX 215
941216632,5M DX778
8707151370,2S 9Q8TCY
6330409863,1MUT 21
7293373731,KGN 691
8381437774,96QA623
8299278290,TIX-774
3930469445,ICQ 879
5625375383,DUQ4085
4838095613,JHM-238
2910680909,3VN45
7595560145,SZU 900
9876465884,0UB5012
2078972523,225 JCO
2939791739,226 WWG
4012915395,75U V05
2303564684,CDC-924
4932820612,YW 21591
5566286209,CBQ4730
3195507526,2K TJ446
470582014,LDC6930
1342108625,DST 217
1880381729,1DJ X06
7775650608,RQQ 703
7856208707,568 BOL
2207904355,NIP-6327
3655765005,894KK
448952745,BEE 770
5948807290,XX8 T1G
476170832,HCI 343
8796604725,511 RWL
3263271429,15-HM06
6142671172,8-86297P
884844920,4AB0480
2894713422,574 JIM
6393833308,7925 VH
6371094633,32N G07
7787343294,6PR 858
2461250409,672 5MR
6074985303,HQF 124
7441937126,661-IYN
9085377153,4SS 130
2259767954,ALZ 108
5684721851,82-ME02
6534683275,820 6ND
4763498514,BTN-572
2679076606,538-HLN
6073273942,088-JED
2421418534,5-C5151
3364096073,925 UXM
3724276361,16K 993
2764402554,544
6498661786,PMY-3580
4825420472,WFT 351
379817950,0FUI 92
787565187,ENL-8366
1804154393,4IZ R94
7526293725,85-9958S
5427979566,52J Q78
8522013978,IUH-070
6347139126,9OD7099
2335691649,IRJ4061
3839557577,199 0QS
8882947224,MGN 374
9537618009,984 WZZ
6559591227,920 LGZ
9798775759,IXG-3377
965270194,GA 2048
1810788575,HSS 135
8410715214,5HKQ 97
732776564,H 717865
1453385195,29W B12
8708228336,QKL-2115
8019125386,73-28679
6584123888,2BE79
3461209265,3KJF834
4736184751,876 BMI
6377673199,JRG 190
802290981,ZGU-170
3379040124,609 BEW
2894173575,12-J856
372664422,9V 0E7TFM
1696605212,39-4352N
5465674670,729-ZOG
8310140181,0CT E37
5862567248,BA-8605
3378571562,GD-2434
340640279,MAE 821
2405963163,5JE6549
5423426045,035DR
3009273310,EG6 T4J
3527198547,MDN 148
1322742292,427-AKK
8829116478,685VJJ
4655980665,UX 6663
2967237942,65-L073
9450326055,6M 8N4WZH
5102878846,L76-44F
1329966052,6IX04
35638473,YAI9366
5834492576,7I BO383
4732874142,127 MOD
2400834682,276 NHZ
8623673715,W39-HNO
8678128651,0VR1058
8368649018,D78-89Y
322630381,2X CH591
9439906248,X12-42Y
5859254607,HGW-0660
3121032579,MOK 536
9444920339,577-UTK
7311757212,YRD-6112
5935103349,780-107
4704499976,921-NNIU
6017495036,XVX-1687
7688490905,FS 4755
2542775326,886 FKO
4321294542,ISV 533
2085585714,495 ISP
9276619450,743-KJS
913536434,KKG 293
4502284517,8MB71
941216632,EPI4806
2784926685,63-97656
8381437774,9GXK 13
2930274072,LM 24090
3930469445,BHS-5622
5625375383,NBQ-4863
1772392824,9F F2690
4838095613,AOS-829
2612606326,177TCO
1128842781,70C W31
9412159266,2XY3473
2910680909,1F 78928
5119996624,809 UBB
2078972523,WCI 038
4012915395,FOP-4832
9286293005,2401 DR
1342108625,BHX 924
9575754613,U98 6YR
1880381729,181 BFU
7775650608,106 YIJ
7856208707,ADU-732
7142683736,68R•376
2621194249,I56 5DY
8226190121,2R 88330
7528627015,60U Z91
5022233691,220-FIX
9611758250,84-WC27
883631466,800 PML
8249163834,9MI 839
3263271429,302FBQ
5565959293,939 7924
3171217627,3RX4731
4553118554,179LU
8665505928,MXS 588
2789420264,794-XFB
6190058432,ORH 676
2452892844,802 FV7
2578130768,281 PZZ
1933291552,7G 8649R
1159738206,ZXS5691
6393833308,224 NGD
7787343294,YKH-6327
6074985303,107-VDR
1289040145,7-J6658
9486924781,140-BAL
9157972870,6DN G71
7577536311,575 VZ6
2733625201,94-DW79
5583024379,EEF 010
3530133295,3FW8336
6534683275,22-R524
4763498514,2652 XG
4661920872,226 QZB
2679076606,241 RCC
7270241175,7NE W68
5262035914,6QY I45
6073273942,ZYP 005
6282869318,GEX4534
3364096073,MGS 805
9976367840,6D363
6498661786,VE0 P9A
4825420472,829-221
379817950,304 HPU
787565187,1NT N25
1804154393,7-29887
8135751658,GDB 326
5026093530,HRA 075
4897644477,08E RK3
4468550394,814 9RX
5427979566,775-LAO
3839557577,6PM3715
9537618009,463 4811
9798775759,SLF-681
9146996311,WCM 529
4025235663,4JT Q75
5123615695,964 IP3
1453385195,YQE3024
8708228336,4Q D4822
8019125386,04Z 2157
9503473457,H96 7QF
7229017149,QBV C27
4736184751,HSH 428
3290782544,I61 6TY
9227040883,TV2 2438
4444840236,8V 7131S
802290981,7B 77677
8743228739,5HGH 47
3379040124,879-UCD
2999591912,MDV-5677
3044741010,732-WLK
1696605212,3LZR577
5465674670,9Z 1026N
5248740590,ULI-9187
5235392775,580-XRQ
2637178822,UOS 611
2432047308,NXN2628
88755701,4O 96624
1322742292,GZD-0194
8829116478,5-B4621
6619103017,F47-ZQW
9142343103,741 1KT
5102878846,82-94022
774018388,OHP 597
5834492576,QUO 439
9161773093,6WUL 89
3347955749,LIK-145
6902300103,9-5756R
4732874142,8NE 465
2400834682,W99 1LZ
3353679220,51KH4
8324074356,7113 FH
1043488309,3IN S20
9580907936,185 8AV
7024211517,TQ5 8063
3121032579,KXX 551
7311757212,OAB 115
2792693333,OPT-567
4307758206,XR 37057
3702710686,SEJ 2186
4571600449,09-CG69
9425780349,5-3602I
6469958684,U47-ZFZ
9276619450,IZQ 3134
1466699002,264-FFN
6997303792,42U E17
420783266,6V272
5173959718,51F B29
2429545014,998 UEB
8299278290,F57-DQU
3930469445,WFV 438
1772392824,7NV 317
5997162104,AIT 625
4838095613,12G 734
7595560145,VB 8529
5119996624,4K089
6518682926,OX-1985
3447539783,XDR 244
2303564684,900-ZHA
4932820612,0F 6036O
5566286209,7401 UA
8356732001,ZVT-099
1880381729,249-BUW
1542285077,508U
8226190121,793 OJT
4648159575,AQ9 H1X
7528627015,3393
6251675679,2-94366I
5948807290,A56-HII
5022233691,3-54356V
9611758250,9-79815
8796604725,DNB O58
3263271429,841-JFAT
4553118554,8L 9X9FLZ
5908988613,XLN4969
2789420264,QIH 409
9655273399,LKM 657
6190058432,749ONN
1858983270,9OO 663
7473551270,618HNP
4092795269,U81 3VZ
884844920,JRM 387
1933291552,FDF1234
5123711356,63DL626
6393833308,ISN 788
2461250409,57-Y093
7441937126,561H0
1289040145,BU-6680
8019686818,VPY1682
9486924781,927 5XR
9157972870,0-5724W
5398650693,347 CY4
7577536311,97-86218
8473725481,9295
8501017618,509 UVM
5583024379,531AJG
7857918801,MKO-9627
3993497972,HJC 040
2259767954,24E T56
2967021206,ZOB-9687
2489902354,844-IEF
3530133295,QHM 493
4763498514,93-DJ50
5262035914,QL 5205
6073273942,TGC 358
2421418534,150 ZIG
1251818586,KFC 617
2764402554,PP 5921
2370991386,319-TIH
1804154393,SEC-295
5026093530,QDV-8658
7361665685,9EJE 13
2335691649,BLA-2552
3839557577,885 9SN
6559591227,23HE5
9146996311,6YT 049
126192716,7K YC112
732776564,GQL 281
8019125386,ALG-649
9503473457,7-9762N
7133693442,0X 8U0BCJ
6584123888,98I T78
7229017149,920 NO9
4736184751,YKZ 448
6398653847,071-FDW
9227040883,155470
4444840236,71-5958U
8340849477,301 YOS
3379040124,4-A2654
3353910459,HMI-3217
372664422,9ZU 177
3044741010,456 BUU
1696605212,8BR 346
8310140181,806-IYA
5862567248,34-TB96
2405963163,829 CR2
3805259730,382Q
5423426045,4J 70004
2432047308,W20-KPT
4146207898,QEI-0537
88755701,JGM-3687
8857634189,9-3689U
3527198547,562-882
8364776548,79P 8449
1322742292,TZS 355
8829116478,003-CZGF
4655980665,TXP 119
9450326055,GO2 A1M
774018388,5V 20870
35638473,4XU T07
1131481063,3-29745B
892464372,IDG3512
5410788200,5CR7462
4732874142,05-8899A
1043488309,463 HCR
322630381,5K 9958I
9444920339,131407
7311757212,630 RYU
905981696,7-93686
5935103349,181 IOX
4704499976,76H 074
4307758206,JBU-719
9375503471,260 0787
9822909160,FKS5798
4763613033,XMM 522
3702710686,934 OZH
4571600449,672 XTW
1747069123,38EE0
1416717128,8XH D17
58959772,013 GQW
9276619450,KIT-7646
1466699002,3HI 498
8338410957,953CAG
6997303792,UFA6995
420783266,1J 5086X
3642508404,IDU 377
4502284517,47Z 6497
6103775793,6TG2820
7293373731,126-NTO
4676274503,ZHL 199
608794417,FJF 835
5625375383,252 JNU
7967786385,78-OS09
5997162104,OVI V67
1487391158,H79 1HA
2612606326,GAB-6707
1128842781,8448 ED
7595560145,ABY-4730
9876465884,2K 5J6SHE
2078972523,606-DYS
6518682926,OIE-8689
3447539783,9-95446
2939791739,AHY-8188
4932089967,031-WWS
2462977319,OPZ-371
9605355644,LXS-2300
8356732001,MLN 363
3195507526,QXE 489
9575754613,773 VBA
7856208707,7KG5595
7142683736,BW1 3234
448952745,04UV0
6985190702,GBZ 8738
2621194249,G23-RSI
4648159575,55N G71
7528627015,734 JXY
898257721,647BJT
5948807290,97Y Z17
5022233691,QXX2513
476170832,740E
8796604725,PY 1470
4553118554,0PH R91
8665505928,578-ZIG
5908988613,0281 HA
9655273399,6-Z8779
6190058432,0K 3Z9TWZ
7473551270,3-58615
4092795269,IYU-437
3422253034,586 WMG
2452892844,0-0073G
1159738206,CCA 785
6371094633,DPQ-862
6830340144,3-2260K
180019321,E80-MLA
8019686818,GQU-8889
9486924781,7Y 8I7KEQ
9157972870,OMQ-0373
7577536311,6UEH 81
2733625201,5Q 8041F
5583024379,196-IJH
3993497972,371 TSX
5684721851,297-059
2489902354,7N U0957
7270241175,5F TX621
6282869318,65-XC64
3364096073,7-1694W
2764402554,487-TDM
4825420472,686 FMH
1804154393,YU-2902
8135751658,9T 72900
7526293725,378 3HL
5026093530,8I UY907
7160146,C15 4EE
9537618009,01A 9646
9798775759,916 NUU
126192716,G70 3WW
8410715214,21HT781
732776564,7CZT129
3644703085,WQY 234
9503473457,LD 15596
130597914,146-GLZ
9227040883,BNU F71
1420011588,2-92597
937846573,KLI 161
8340849477,05L•150
8743228739,975 LWO
3379040124,853X
3353910459,4C T7368
5248740590,9ZR H83
1764028876,ABV-999
8310140181,4JL 298
5862567248,MDG-2298
7852182166,0KG M67
5235392775,HPM8644
340640279,91L•279
2405963163,IJO-087
2637178822,626 JMF
5423426045,IDE Q02
7489059204,AVO-8514
3009273310,MFN 112
2432047308,457 OGY
5270148403,733-DBS
864035941,K93 5FY
8829116478,HUX5388
5424884955,111-KOY
9142343103,981 ZYJ
1329966052,ZDQ 601
9947134092,LGO 446
892464372,KBY 511
5410788200,DZT 883
2400834682,715-ZRY
8678128651,3RM K37
1043488309,JFK4635
322630381,15-F068
5859254607,566-NQN
3121032579,6-8996Z
7311757212,2A 3C0PYJ
2792693333,95-S381
5870273012,SCY 097
905981696,NKU6307
5935103349,L01 9CC
4704499976,201 0SP
9375503471,VX 65339
4528930905,159 YCL
913536434,3LH0223
5173959718,A04 3IE
3642508404,IQM-226
8707151370,DP 0811
2784926685,B74-EMZ
2429545014,355 8EA
3179826307,598 AZC
6734329635,M93-93F
8381437774,0NJ 213
4676274503,58JP0
8088856438,438029
608794417,5-76967
3930469445,UOU-842
5625375383,OU2 M5A
1772392824,3TN B66
1128842781,900-YHQ
9412159266,923-GJDP
2910680909,Z97-UJS
7595560145,6-66210
5119996624,8F713
2939791739,NFW-9627
4012915395,5-1620E
4932820612,87I 572
3195507526,575-052
470582014,706 3600
9575754613,251 MRD
2477662299,367 UY1
2207904355,3JV 444
6970264341,505 TXG
6064194711,666 HTA
8226190121,75OC6
4648159575,C03 2XV
7528627015,0OC 603
5948807290,HGJ 783
5022233691,2-49570
7101990878,384 UOI
5310232395,6I 30651
3263271429,5OA 432
9138367757,KIL 377
3171217627,7AO 606
4553118554,464L
8665505928,20-X454
1858983270,0-P8239
4092795269,L18 9BR
6142671172,KLW 747
884844920,660 3DC
2894713422,1-K7220
3422253034,LYM 191
2452892844,NGE-8186
2578130768,396-UNI
1933291552,7-0261X
1159738206,F 996293
7787343294,NIQ-0296
6074985303,788 6NV
180019321,73B•578
1289040145,515 5161
7577536311,0Z 05228
3476963805,QJT C42
8473725481,HUI 057
8501017618,QK8 2563
7857918801,RBB 901
5684721851,182M
4763498514,STY-507
4661920872,EXU-1189
2679076606,46-7254L
7270241175,OH 4374
6073273942,KD-2612
9976367840,XSQ 940
3724276361,H28 9KQ
2764402554,V 678591
6610414206,324-NPF
8135751658,1QCZ466
4468550394,HNL 498
5427979566,BGT-8561
2335691649,701747
7160146,4-18231P
2864288118,VSX-185
3839557577,3VY 558
126192716,981VRC
1810788575,F33 0BX
9709892916,870EW
1453385195,AGG8389
1269480706,10GW101
7133693442,5-6003A
130597914,77LQ8
3461209265,535 IK2
7229017149,612 JSE
3290782544,EX2 9328
802290981,93C 2845
2894173575,W21 7IC
3353910459,73-AR24
372664422,172 LQS
2999591912,CQ 88787
3044741010,QOJ 407
7928177958,L98 2ER
8310140181,2520 WF
2405963163,221-LKD
2637178822,H13 6QA
7489059204,ZLF 641
3009273310,SZJ 592
2403811561,H84 5NZ
4146207898,268-718
88755701,9XP E52
3527198547,951 NCT
864035941,6-11208
8829116478,8380
4655980665,05-J219
9142343103,0WN V61
1329966052,54QX5
774018388,643 APQ
35638473,1OU8194
1131481063,0DX5658
9454182811,937 IUU
892464372,2557
5410788200,6G P8070
1043488309,150-AIT
322630381,ALK 807
6686857667,6-W9864
7024211517,721 EGT
9439906248,TLB 614
3121032579,KJJ 310
7311757212,5YOQ 35
5870273012,025 0PJ
905981696,918 XET
1459716828,LWY 178
4528930905,MCO 747
6997303792,VSX 302
5081036892,967 XAQ
5173959718,7QY8840
941216632,50K 0105
3179826307,6HWY 41
4676274503,315YCH
8299278290,HAB 064
8088856438,086 VYW
5625375383,43-19624
1772392824,TIR 293
4838095613,9NT56
2612606326,VVT-313
1128842781,3517
2546797455,BJ 72028
9412159266,LZL-2657
5119996624,1BG S96
3447539783,033DT
2939791739,4V L9931
4012915395,YLX-3258
7816643612,5KH 922
2303564684,05-IF75
4932820612,08R 559
7381244233,VMH 708
7775650608,4N 04973
448952745,FIT 684
6064194711,3641
8226190121,86-7374J
4231155602,36-LF56
5948807290,YJU-467
6373682386,SBG 098
9611758250,B60-VWJ
8796604725,24K 730
5310232395,6PP 383
5565959293,S73-88B
3171217627,012 9681
894661436,F87-94C
8665505928,079Z3
5908988613,076 6339
884844920,795 ETO
2452892844,1799
2578130768,886 RWI
5123711356,578-FYHM
335669174,00R P09
2949004285,0JE39
3418908647,35-67079
180019321,907 YRF
9085377153,818-EAG
9157972870,229KIZ
7577536311,B 272001
7962255301,015 IRX
8473725481,2-50287
8501017618,77N 596
2259767954,33-2862W
7276364644,3NW U44
2967021206,8BB9830
5684721851,31K J90
2489902354,959 PPU
3530133295,CEG-7377
4776207527,BPL-883
450381012,VHU-560
4661920872,YWZ 595
2679076606,0H 98955
7270241175,8IY 250
6683105100,0NM0292
3530147190,78-K824
3724276361,EHE 4075
2764402554,543 GNR
6498661786,NJG-6665
6610414206,MVY 713
6339881175,036K1
787565187,AI 6935
5026093530,N 788808
4468550394,3-66051
7361665685,YY4 2288
8522013978,4T 58052
7160146,095 FQZ
9537618009,I74 4OC
6559591227,6RW6048
126192716,D93-TNA
1810788575,021IYI
7702084276,769-699
9709892916,SVA-1631
732776564,86AX2
8708228336,9BM89
1269480706,SMO 815
9503473457,58O PJ3
3461209265,7Z 6929X
4444840236,ZXT 321
802290981,785 TDP
1152340118,333HLE
8743228739,GEB-2708
2894173575,T 783124
3353910459,5B539
8231770303,PHI-4177
1696605212,ZYA 530
1764028876,0P 8570L
340640279,JGG-6535
7489059204,25O 4226
3009273310,556 FJQ
2636116469,2978 GK
8857634189,ZZA 815
3527198547,398LNJ
8364776548,267 NZR
864035941,SFX 795
4655980665,359 DEQ
2967237942,891 VLG
9450326055,1GZ Q60
5424884955,RBP-661
6619103017,670 WNA
5102878846,YVC-494
1329966052,64-4925J
9947134092,H72 2YK
774018388,34M•017
5410788200,455277
4732874142,MA7 4057
3353679220,O46-QGQ
8623673715,LGW-976
8368649018,MVE 979
3121032579,070-VWK
9444920339,31-FK94
905981696,LYI 915
6200017793,MFU S87
4704499976,ZIP 864
1459716828,902W
1466699002,TDQ-793
8338410957,9562
420783266,1NLF 30
5173959718,7Z 3534Q
2784926685,VFO-811
8088856438,EJD 803
2930274072,238 TNK
608794417,781 1FW
3930469445,DRJ 830
5625375383,89-A279
2612606326,326 JFK
2546797455,575 1HP
7713355859,4GT X73
9876465884,3JQ 654
2078972523,941 KNO
2939791739,40-6718N
4012915395,BDO8119
4932820612,RWO-7493
9605355644,HPR-2951
9286293005,845 MNG
3195507526,EAR 714
9926144611,UEL-550
1342108625,ZT-5655
7775650608,844 2KO
3655765005,07W YE1
448952745,6I PI469
6985190702,GBT6744
6970264341,AJY-9891
1476992639,EXF6194
8226190121,4VAX385
4648159575,617-206
4231155602,016W
6251675679,RAD-7016
5022233691,CFP-340
883631466,047EM
8249163834,84A 238
8796604725,X51 1HP
5565959293,HLU 274
3171217627,351 WMT
4553118554,0IL3153
5908988613,BUX7525
2789420264,SZE-9965
4092795269,Y 653696
3422253034,VT7 Y2W
2452892844,420-OYK
1933291552,XVE-0881
1159738206,179-NLE
7787343294,D65 6VU
6830340144,57W•489
2949004285,816-ZUF
7441937126,701 0KB
1289040145,N09-CVL
8019686818,LGE-9000
9486924781,ALH-469
9157972870,46J QC4
3476963805,SSX 149
7962255301,T78 5KR
8473725481,740 GOJ
2733625201,4Y705
5583024379,625-ZXA
7857918801,CDA-942
2259767954,73D 529
7276364644,O14-56N
2967021206,1OA J97
4776207527,50I 0130
6534683275,69EZ893
450381012,I09-OBJ
4763498514,MQY-242
7413059307,450 VVZ
7270241175,UTW-6872
6683105100,7-1470B
6073273942,0OA Y11
3364096073,4JL 679
9976367840,702XP
2764402554,817K
6498661786,958 6408
6610414206,8-I0181
2370991386,HP8 C7F
6339881175,272 YYR
379817950,FBP 349
7526293725,VGQ 530
4897644477,P84 0AC
4468550394,CWU-1443
3289700877,064 8XT
8522013978,UV 4166
2335691649,KQI-137
8882947224,2VE M49
9146996311,0AS 085
126192716,367 SER
4025235663,9VM O50
7702084276,TQF-695
9709892916,167-IQP
8410715214,982 EWJ
8019125386,WD-4200
1269480706,TY 5461
7133693442,685 QZR
130597914,R50 1NH
4736184751,898T6
9589372090,231 2757
1420011588,725H
4444840236,3KM 696
802290981,K80-ZXB
1152340118,AYV 369
8340849477,542-MTZ
3353910459,53-MO16
2999591912,LDR 808
5465674670,028-BAQL
5248740590,YFF-665
5235392775,4-45012A
3378571562,HS 3074
340640279,9T589
2405963163,9-F8654
3805259730,2-M4064
4146207898,V58 2EN
88755701,LNA 574
2636116469,23C WU4
8857634189,40G 6406
8829116478,RPJ 8340
4655980665,ZXG 094
5102878846,02-S856
774018388,994-CWF
1131481063,MRT 516
3347955749,ZMD 044
6161457669,ESX 218
